,date,country,confirmed,deaths,new_case
3106,2/15/20,Mongolia,0,0,0.0
3107,2/15/20,Montenegro,0,0,0.0
3108,2/15/20,Morocco,0,0,0.0
3109,2/15/20,Mozambique,0,0,0.0
3110,2/15/20,Namibia,0,0,0.0
3111,2/15/20,Nepal,1,0,1.0
3112,2/15/20,Netherlands,0,0,-1.0
3113,2/15/20,New Zealand,0,0,0.0
3114,2/15/20,Nicaragua,0,0,0.0
3115,2/15/20,Niger,0,0,0.0
3116,2/15/20,Nigeria,0,0,0.0
3117,2/15/20,North Macedonia,0,0,0.0
3118,2/15/20,Norway,0,0,0.0
3119,2/15/20,Oman,0,0,0.0
3120,2/15/20,Pakistan,0,0,0.0
3121,2/15/20,Panama,0,0,0.0
3122,2/15/20,Papua New Guinea,0,0,0.0
3123,2/15/20,Paraguay,0,0,0.0
3124,2/15/20,Peru,0,0,0.0
3125,2/15/20,Philippines,3,1,3.0
3126,2/15/20,Poland,0,0,-3.0
3127,2/15/20,Portugal,0,0,0.0
3128,2/15/20,Qatar,0,0,0.0
3129,2/15/20,Romania,0,0,0.0
3130,2/15/20,Russia,2,0,2.0
3131,2/15/20,Rwanda,0,0,-2.0
3132,2/15/20,Saint Kitts and Nevis,0,0,0.0
3133,2/15/20,Saint Lucia,0,0,0.0
3134,2/15/20,Saint Vincent and the Grenadines,0,0,0.0
3135,2/15/20,San Marino,0,0,0.0
3136,2/15/20,Sao Tome and Principe,0,0,0.0
3137,2/15/20,Saudi Arabia,0,0,0.0
3138,2/15/20,Senegal,0,0,0.0
3139,2/15/20,Serbia,0,0,0.0
3140,2/15/20,Seychelles,0,0,0.0
3141,2/15/20,Sierra Leone,0,0,0.0
3142,2/15/20,Singapore,72,0,72.0
3143,2/15/20,Slovakia,0,0,-72.0
3144,2/15/20,Slovenia,0,0,0.0
3145,2/15/20,Somalia,0,0,0.0
3146,2/15/20,South Africa,0,0,0.0
3147,2/15/20,South Korea,28,0,28.0
3148,2/15/20,South Sudan,0,0,-28.0
3149,2/15/20,Spain,2,0,2.0
3150,2/15/20,Sri Lanka,1,0,-1.0
3151,2/15/20,Sudan,0,0,-1.0
3152,2/15/20,Suriname,0,0,0.0
3153,2/15/20,Sweden,1,0,1.0
3154,2/15/20,Switzerland,0,0,-1.0
3155,2/15/20,Syria,0,0,0.0
3156,2/15/20,Taiwan*,18,0,18.0
3157,2/15/20,Tajikistan,0,0,-18.0
3158,2/15/20,Tanzania,0,0,0.0
3159,2/15/20,Thailand,33,0,33.0
3160,2/15/20,Timor-Leste,0,0,-33.0
3161,2/15/20,Togo,0,0,0.0
3162,2/15/20,Trinidad and Tobago,0,0,0.0
3163,2/15/20,Tunisia,0,0,0.0
3164,2/15/20,Turkey,0,0,0.0
3165,2/15/20,US,13,0,13.0
3166,2/15/20,Uganda,0,0,-13.0
3167,2/15/20,Ukraine,0,0,0.0
3168,2/15/20,United Arab Emirates,8,0,8.0
3169,2/15/20,United Kingdom,9,0,1.0
3170,2/15/20,Uruguay,0,0,-9.0
3171,2/15/20,Uzbekistan,0,0,0.0
3172,2/15/20,Venezuela,0,0,0.0
3173,2/15/20,Vietnam,16,0,16.0
3174,2/15/20,West Bank and Gaza,0,0,-16.0
3175,2/15/20,Western Sahara,0,0,0.0
3176,2/15/20,Yemen,0,0,0.0
3177,2/15/20,Zambia,0,0,0.0
3178,2/15/20,Zimbabwe,0,0,0.0
3179,2/16/20,Afghanistan,0,0,0.0
3180,2/16/20,Albania,0,0,0.0
3181,2/16/20,Algeria,0,0,0.0
3182,2/16/20,Andorra,0,0,0.0
3183,2/16/20,Angola,0,0,0.0
3184,2/16/20,Antigua and Barbuda,0,0,0.0
3185,2/16/20,Argentina,0,0,0.0
3186,2/16/20,Armenia,0,0,0.0
3187,2/16/20,Australia,15,0,15.0
3188,2/16/20,Austria,0,0,-15.0
3189,2/16/20,Azerbaijan,0,0,0.0
3190,2/16/20,Bahamas,0,0,0.0
3191,2/16/20,Bahrain,0,0,0.0
3192,2/16/20,Bangladesh,0,0,0.0
3193,2/16/20,Barbados,0,0,0.0
3194,2/16/20,Belarus,0,0,0.0
3195,2/16/20,Belgium,1,0,1.0
3196,2/16/20,Belize,0,0,-1.0
3197,2/16/20,Benin,0,0,0.0
3198,2/16/20,Bhutan,0,0,0.0
3199,2/16/20,Bolivia,0,0,0.0
3200,2/16/20,Bosnia and Herzegovina,0,0,0.0
3201,2/16/20,Botswana,0,0,0.0
3202,2/16/20,Brazil,0,0,0.0
3203,2/16/20,Brunei,0,0,0.0
3204,2/16/20,Bulgaria,0,0,0.0
3205,2/16/20,Burkina Faso,0,0,0.0
3206,2/16/20,Burma,0,0,0.0
3207,2/16/20,Burundi,0,0,0.0
3208,2/16/20,Cabo Verde,0,0,0.0
3209,2/16/20,Cambodia,1,0,1.0
3210,2/16/20,Cameroon,0,0,-1.0
3211,2/16/20,Canada,7,0,7.0
3212,2/16/20,Central African Republic,0,0,-7.0
3213,2/16/20,Chad,0,0,0.0
3214,2/16/20,Chile,0,0,0.0
3215,2/16/20,China,70513,1766,70513.0
3216,2/16/20,Colombia,0,0,-70513.0
3217,2/16/20,Comoros,0,0,0.0
3218,2/16/20,Congo (Brazzaville),0,0,0.0
3219,2/16/20,Congo (Kinshasa),0,0,0.0
3220,2/16/20,Costa Rica,0,0,0.0
3221,2/16/20,Cote d'Ivoire,0,0,0.0
3222,2/16/20,Croatia,0,0,0.0
3223,2/16/20,Cuba,0,0,0.0
3224,2/16/20,Cyprus,0,0,0.0
3225,2/16/20,Czechia,0,0,0.0
3226,2/16/20,Denmark,0,0,0.0
3227,2/16/20,Diamond Princess,355,0,355.0
3228,2/16/20,Djibouti,0,0,-355.0
3229,2/16/20,Dominica,0,0,0.0
3230,2/16/20,Dominican Republic,0,0,0.0
3231,2/16/20,Ecuador,0,0,0.0
3232,2/16/20,Egypt,1,0,1.0
3233,2/16/20,El Salvador,0,0,-1.0
3234,2/16/20,Equatorial Guinea,0,0,0.0
3235,2/16/20,Eritrea,0,0,0.0
3236,2/16/20,Estonia,0,0,0.0
3237,2/16/20,Eswatini,0,0,0.0
3238,2/16/20,Ethiopia,0,0,0.0
3239,2/16/20,Fiji,0,0,0.0
3240,2/16/20,Finland,1,0,1.0
3241,2/16/20,France,12,1,11.0
3242,2/16/20,Gabon,0,0,-12.0
3243,2/16/20,Gambia,0,0,0.0
3244,2/16/20,Georgia,0,0,0.0
3245,2/16/20,Germany,16,0,16.0
3246,2/16/20,Ghana,0,0,-16.0
3247,2/16/20,Greece,0,0,0.0
3248,2/16/20,Grenada,0,0,0.0
3249,2/16/20,Guatemala,0,0,0.0
3250,2/16/20,Guinea,0,0,0.0
3251,2/16/20,Guinea-Bissau,0,0,0.0
3252,2/16/20,Guyana,0,0,0.0
3253,2/16/20,Haiti,0,0,0.0
3254,2/16/20,Holy See,0,0,0.0
3255,2/16/20,Honduras,0,0,0.0
3256,2/16/20,Hungary,0,0,0.0
3257,2/16/20,Iceland,0,0,0.0
3258,2/16/20,India,3,0,3.0
3259,2/16/20,Indonesia,0,0,-3.0
3260,2/16/20,Iran,0,0,0.0
3261,2/16/20,Iraq,0,0,0.0
3262,2/16/20,Ireland,0,0,0.0
3263,2/16/20,Israel,0,0,0.0
3264,2/16/20,Italy,3,0,3.0
3265,2/16/20,Jamaica,0,0,-3.0
3266,2/16/20,Japan,59,1,59.0
3267,2/16/20,Jordan,0,0,-59.0
3268,2/16/20,Kazakhstan,0,0,0.0
3269,2/16/20,Kenya,0,0,0.0
3270,2/16/20,Kosovo,0,0,0.0
3271,2/16/20,Kuwait,0,0,0.0
3272,2/16/20,Kyrgyzstan,0,0,0.0
3273,2/16/20,Laos,0,0,0.0
3274,2/16/20,Latvia,0,0,0.0
3275,2/16/20,Lebanon,0,0,0.0
3276,2/16/20,Liberia,0,0,0.0
3277,2/16/20,Libya,0,0,0.0
3278,2/16/20,Liechtenstein,0,0,0.0
3279,2/16/20,Lithuania,0,0,0.0
3280,2/16/20,Luxembourg,0,0,0.0
3281,2/16/20,MS Zaandam,0,0,0.0
3282,2/16/20,Madagascar,0,0,0.0
3283,2/16/20,Malawi,0,0,0.0
3284,2/16/20,Malaysia,22,0,22.0
3285,2/16/20,Maldives,0,0,-22.0
3286,2/16/20,Mali,0,0,0.0
3287,2/16/20,Malta,0,0,0.0
3288,2/16/20,Mauritania,0,0,0.0
3289,2/16/20,Mauritius,0,0,0.0
3290,2/16/20,Mexico,0,0,0.0
3291,2/16/20,Moldova,0,0,0.0
3292,2/16/20,Monaco,0,0,0.0
3293,2/16/20,Mongolia,0,0,0.0
3294,2/16/20,Montenegro,0,0,0.0
3295,2/16/20,Morocco,0,0,0.0
3296,2/16/20,Mozambique,0,0,0.0
3297,2/16/20,Namibia,0,0,0.0
3298,2/16/20,Nepal,1,0,1.0
3299,2/16/20,Netherlands,0,0,-1.0
3300,2/16/20,New Zealand,0,0,0.0
3301,2/16/20,Nicaragua,0,0,0.0
3302,2/16/20,Niger,0,0,0.0
3303,2/16/20,Nigeria,0,0,0.0
3304,2/16/20,North Macedonia,0,0,0.0
3305,2/16/20,Norway,0,0,0.0
3306,2/16/20,Oman,0,0,0.0
3307,2/16/20,Pakistan,0,0,0.0
3308,2/16/20,Panama,0,0,0.0
3309,2/16/20,Papua New Guinea,0,0,0.0
3310,2/16/20,Paraguay,0,0,0.0
3311,2/16/20,Peru,0,0,0.0
3312,2/16/20,Philippines,3,1,3.0
3313,2/16/20,Poland,0,0,-3.0
3314,2/16/20,Portugal,0,0,0.0
3315,2/16/20,Qatar,0,0,0.0
3316,2/16/20,Romania,0,0,0.0
3317,2/16/20,Russia,2,0,2.0
